case_id,keydate,Target90Days,TargetAmount90Days,OriginalCapitalOfCaseInvoices,IndustryCode,ClientName,NumberOfUnsuccessfullyClosedCustomerCasesLast36Months,AmountOfAmountOfCustomerPaymentsOnAllCasesBlevelase,AmountOfCustomerOpenCases,NumberOfTelephonesCI,RatioOfCustomersAtAddressWithSuccessfullyClosedCasesLast36Months,AgeOfDebt,NumberOfCustomerIncomingCallDatesTee,CustomerAge,NumberOfCustomerPaymentsInLast12Months,LastOriginalClosingCodeOfCustomer,NumberOfSuccessfullyClosedCasesInLast24Months,AmountOfCase
7016,2017-05-25 00:00:00.0,0.0,0.0,1067.47,K6622,12,1.0,,582.1,2.0,,14.0,0.0,47.0,,9,,1167.47
7017,2017-01-13 00:00:00.0,0.0,0.0,228.64,K6512,6,1.0,11.02,631.55,2.0,0.0,4.0,0.0,36.0,1.0,1,,289.64
7018,2017-08-20 00:00:00.0,0.0,0.0,1292.63,K6512,10,1.0,,17.72,3.0,0.25,182.0,0.0,64.0,,1,,1448.74
7019,2017-06-12 00:00:00.0,0.0,0.0,164.38,K6619,16,,,123.12,1.0,1.0,4.0,0.0,49.0,,4,,164.38
7020,2017-01-12 00:00:00.0,0.0,0.0,172.6,K6622,29,,530.51,0.0,1.0,0.36,104.0,0.0,,4.0,7,1.0,193.4
7021,2017-05-05 00:00:00.0,0.0,0.0,714.6,K6622,15,,,53.12,5.0,0.0,7.0,0.0,44.0,,4,,727.09
7022,2017-01-13 00:00:00.0,0.0,0.0,110.83,K6512,2,,,22.26,2.0,,102.0,0.0,45.0,,4,,172.22
7023,2017-05-22 00:00:00.0,0.0,0.0,131.22,K6512,27,,426.51,0.0,2.0,1.0,4.0,0.0,56.0,0.0,7,1.0,131.22
7024,2017-03-17 00:00:00.0,0.0,0.0,686.0,K6512,11,,,0.0,2.0,,38.0,0.0,34.0,,5,,701.0
7025,2017-06-17 00:00:00.0,1.0,364.0,1500.0,K6512,44,1.0,,0.0,1.0,0.71,666.0,0.0,39.0,,1,,1500.0
7026,2017-03-23 00:00:00.0,0.0,0.0,132.64,K6512,6,3.0,10.5,0.0,2.0,,4.0,0.0,25.0,0.0,1,,193.64
7027,2017-03-03 00:00:00.0,0.0,0.0,293.73,K6512,6,1.0,,0.0,2.0,0.5,4.0,0.0,42.0,,1,,369.73
7028,2017-03-27 00:00:00.0,0.0,0.0,,K6512,13,1.0,244.0,291.1,4.0,0.0,3.0,1.0,29.0,5.0,1,1.0,193.49
7029,2017-06-23 00:00:00.0,1.0,300.0,0.0,K6512,6,,629.1,0.0,1.0,1.0,4.0,5.0,46.0,0.0,7,0.0,783.24
7030,2017-02-17 00:00:00.0,0.0,0.0,495.0,K6512,11,1.0,,0.0,2.0,,38.0,0.0,35.0,,1,,510.0
7031,2017-04-13 00:00:00.0,0.0,0.0,434.33,K6512,11,1.0,162.0,0.0,7.0,0.16,63.0,0.0,28.0,1.0,1,1.0,449.33
7032,2017-07-06 00:00:00.0,0.0,0.0,92.7,K6622,15,4.0,,821.5,3.0,0.33,6.0,1.0,,,1,,103.82
7033,2017-05-13 00:00:00.0,0.0,0.0,571.0,K6622,15,0.0,18.81,0.0,3.0,,4.0,0.0,24.0,0.0,1,,582.9
7034,2017-09-03 00:00:00.0,0.0,0.0,328.83,K6622,24,1.0,,0.0,4.0,0.0,89.0,0.0,42.0,,3,,344.07
7035,2017-04-24 00:00:00.0,0.0,0.0,320.61,K6512,2,1.0,,1804.9,3.0,0.0,98.0,0.0,,,1,,397.72
7036,2017-06-22 00:00:00.0,0.0,0.0,29.13,K6622,7,1.0,313.98,0.0,2.0,,77.0,0.0,37.0,0.0,1,,79.13
7037,2017-02-05 00:00:00.0,0.0,0.0,576.31,K6419,25,1.0,,0.0,1.0,0.33,5.0,0.0,23.0,,3,,577.12
7038,2017-09-14 00:00:00.0,0.0,0.0,632.11,K6512,9,10.0,15.0,507.56,8.0,0.0,135.0,0.0,34.0,0.0,15,,669.04
7039,2017-09-18 00:00:00.0,0.0,0.0,324.13,K6419,38,1.0,45.82,0.0,2.0,,4.0,0.0,38.0,0.0,5,,324.13
7040,2017-07-08 00:00:00.0,0.0,0.0,145.66,K6512,10,,201.75,169.43,4.0,0.0,129.0,0.0,61.0,1.0,7,1.0,165.85
7041,2017-07-21 00:00:00.0,0.0,0.0,736.83,K6622,12,,920.28,0.0,10.0,,10.0,2.0,45.0,1.0,8,2.0,836.83
7042,2017-07-21 00:00:00.0,0.0,0.0,238.19,K6622,4,1.0,,601.89,3.0,0.37,10.0,1.0,78.0,,3,,288.19
7043,2017-02-06 00:00:00.0,0.0,0.0,52.68,K6622,12,1.0,,236.82,4.0,1.0,95.0,0.0,52.0,,1,,102.68
7044,2017-06-15 00:00:00.0,1.0,102.93,87.69,K6622,24,1.0,2973.65,1570.73,5.0,0.0,95.0,0.0,66.0,0.0,6,1.0,102.93
7045,2017-06-22 00:00:00.0,0.0,0.0,526.6,K6622,22,1.0,,315.82,3.0,0.42,12.0,0.0,38.0,,9,,576.6
7046,2017-07-22 00:00:00.0,0.0,0.0,74.27,K6622,4,6.0,157.96,10923.04,10.0,0.28,225.0,0.0,34.0,1.0,37,,124.27
7047,2017-02-23 00:00:00.0,0.0,0.0,1012.1,K6622,7,1.0,1.29,0.0,4.0,,13.0,0.0,45.0,0.0,1,,1062.1
7048,2017-06-24 00:00:00.0,0.0,0.0,73.93,K6512,19,1.0,,0.0,2.0,0.22,103.0,0.0,32.0,,1,,134.93
7049,2017-09-14 00:00:00.0,1.0,60.0,448.24,K6499,23,1.0,,555.05,4.0,,183.0,1.0,49.0,,9,,448.24
7050,2017-05-20 00:00:00.0,0.0,0.0,136.23,K6512,5,1.0,,173.45,2.0,,353.0,0.0,34.0,,1,,156.39
7051,2017-02-11 00:00:00.0,0.0,0.0,1432.96,K6512,6,2.0,99.76,0.0,3.0,,4.0,1.0,48.0,0.0,1,0.0,1520.96
7052,2017-01-09 00:00:00.0,1.0,42.0,42.0,K6619,30,1.0,,0.0,3.0,,4.0,0.0,55.0,,1,,42.0
7053,2017-07-13 00:00:00.0,1.0,41.58,41.58,K6619,30,,30.05,0.0,1.0,0.43,7.0,0.0,23.0,1.0,7,1.0,41.58
7054,2017-04-23 00:00:00.0,0.0,0.0,128.89,K6512,10,2.0,,377.34,5.0,0.13,143.0,0.0,32.0,,5,,149.2
7055,2017-07-31 00:00:00.0,0.0,0.0,0.0,K6512,6,0.0,,542.92,4.0,0.33,4.0,0.0,58.0,,3,,1481.66
7056,2017-08-20 00:00:00.0,0.0,0.0,833.44,K6622,4,1.0,,0.0,5.0,0.0,10.0,0.0,29.0,,1,,883.44
7057,2017-05-05 00:00:00.0,0.0,0.0,620.0,K6512,11,1.0,,0.0,2.0,1.0,93.0,0.0,22.0,,1,,635.0
7058,2017-05-08 00:00:00.0,0.0,0.0,147.62,K6619,32,,,161.16,1.0,,4.0,0.0,,,4,,147.62
7059,2017-02-04 00:00:00.0,0.0,0.0,35.0,K6512,11,,164.88,0.0,4.0,0.46,3.0,1.0,,7.0,5,,50.0
7060,2017-09-18 00:00:00.0,0.0,0.0,292.48,K6622,12,1.0,350.74,0.0,1.0,0.13,12.0,0.0,38.0,0.0,1,0.0,392.48
7061,2017-08-12 00:00:00.0,0.0,0.0,541.8,K6512,11,1.0,356.04,336.94,3.0,0.0,63.0,0.0,49.0,2.0,37,1.0,556.8
7062,2017-02-16 00:00:00.0,0.0,0.0,59.2,K6512,13,,102.92,0.0,2.0,0.5,1191.0,0.0,22.0,0.0,7,0.0,67.2
7063,2017-08-26 00:00:00.0,0.0,0.0,893.68,K6512,53,,,640.77,4.0,0.0,96.0,0.0,43.0,,4,,893.68
7064,2017-01-07 00:00:00.0,1.0,711.56,711.56,K6512,10,,,35.15,2.0,,128.0,0.0,,,4,,739.64
7065,2017-04-23 00:00:00.0,0.0,0.0,521.31,K6512,6,,,1072.32,2.0,,4.0,0.0,28.0,,4,,597.31
7066,2017-07-22 00:00:00.0,0.0,0.0,734.16,K6622,4,5.0,61.65,965.65,7.0,,72.0,1.0,43.0,0.0,1,,784.16
7067,2017-09-17 00:00:00.0,0.0,0.0,3830.3,K6512,56,1.0,,0.0,9.0,0.5,351.0,0.0,63.0,,1,,3830.3
7068,2017-04-06 00:00:00.0,0.0,0.0,74.4,K6622,15,2.0,176.25,0.0,3.0,0.4,6.0,0.0,,0.0,1,,85.52
7069,2017-08-20 00:00:00.0,0.0,0.0,288.17,K6622,7,1.0,,0.0,1.0,0.35,10.0,0.0,26.0,,9,,338.17
7070,2017-08-20 00:00:00.0,0.0,0.0,108.21,K6622,7,0.0,20.0,0.0,2.0,,72.0,0.0,46.0,0.0,1,,158.21
7071,2017-04-13 00:00:00.0,0.0,0.0,560.13,K6512,2,2.0,,1473.94,3.0,0.0,108.0,0.0,55.0,,1,,638.4
7072,2017-08-11 00:00:00.0,0.0,0.0,471.23,K6512,6,2.0,154.45,60.9,4.0,,4.0,0.0,35.0,0.0,1,,547.23
7073,2017-09-01 00:00:00.0,1.0,1420.0,1420.0,K6512,26,,1426.0,0.0,0.0,,223.0,0.0,57.0,0.0,6,1.0,1420.23
7074,2017-06-22 00:00:00.0,1.0,141.03,121.02,K6512,5,,,135.33,1.0,,172.0,0.0,23.0,,4,,141.03
7075,2017-08-04 00:00:00.0,0.0,0.0,1232.65,K6419,38,,,415.71,2.0,0.34,4.0,0.0,49.0,,4,,1633.71
7076,2017-05-18 00:00:00.0,1.0,147.61,147.61,K6512,49,,153.5,0.0,1.0,,78.0,0.0,,1.0,6,1.0,147.61
7077,2017-09-18 00:00:00.0,0.0,0.0,119.18,K6622,24,,89.5,0.0,1.0,0.25,84.0,1.0,62.0,4.0,7,1.0,134.42
7078,2017-09-18 00:00:00.0,1.0,162.8,112.8,K6622,7,,,1005.93,2.0,,69.0,0.0,43.0,,4,,162.8
7079,2017-06-19 00:00:00.0,0.0,0.0,779.4,K6512,49,1.0,0.0,1028.04,4.0,0.25,79.0,3.0,29.0,0.0,13,,779.4
7080,2017-07-06 00:00:00.0,0.0,0.0,330.56,K6419,25,,,136.15,1.0,,7.0,0.0,30.0,,4,,331.05
7081,2017-04-02 00:00:00.0,0.0,0.0,81.3,K6512,42,1.0,,798.3,5.0,0.12,88.0,1.0,56.0,,1,,81.3
7082,2017-01-01 00:00:00.0,0.0,0.0,968.47,K6512,2,5.0,66.26,0.0,5.0,0.0,104.0,0.0,49.0,0.0,34,,1061.47
7083,2017-09-18 00:00:00.0,0.0,0.0,56.36,K6622,57,,,1675.86,5.0,,74.0,0.0,38.0,,4,,106.36
7084,2017-08-31 00:00:00.0,0.0,0.0,810.18,K6512,65,4.0,,756.22,6.0,,4.0,0.0,52.0,,9,,810.18
7085,2017-01-13 00:00:00.0,1.0,289.69,907.11,K6512,2,2.0,128.33,0.0,3.0,,123.0,0.0,28.0,0.0,1,,971.41
7086,2017-03-27 00:00:00.0,0.0,0.0,136.6,K6512,10,1.0,,478.25,4.0,,424.0,0.0,48.0,,17,,156.97
7087,2017-07-01 00:00:00.0,0.0,0.0,114.67,K6512,6,,400.0,1783.67,3.0,,4.0,0.0,25.0,1.0,4,,175.67
7088,2017-02-18 00:00:00.0,1.0,165.79,145.69,K6512,71,,176.48,0.0,2.0,1.0,130.0,0.0,41.0,1.0,7,1.0,165.79
7089,2017-05-08 00:00:00.0,0.0,0.0,1251.87,K6419,25,1.0,,0.0,3.0,0.0,5.0,0.0,56.0,,11,,1254.65
7090,2017-05-20 00:00:00.0,0.0,0.0,1002.32,K6622,22,2.0,,3421.72,3.0,0.2,9.0,0.0,62.0,,9,,1052.32
7091,2017-02-06 00:00:00.0,0.0,0.0,47.11,K6622,7,,240.35,522.3,5.0,0.0,89.0,3.0,32.0,0.0,7,0.0,97.11
7092,2017-07-22 00:00:00.0,0.0,0.0,92.53,K6512,2,1.0,227.4,0.0,4.0,0.13,81.0,0.0,34.0,0.0,5,,153.76
7093,2017-06-26 00:00:00.0,0.0,0.0,38.31,K6512,39,,,10.9,3.0,,168.0,0.0,31.0,,4,,38.31
7094,2017-01-16 00:00:00.0,0.0,0.0,491.2,K6622,15,1.0,,0.0,3.0,1.0,89.0,1.0,,,1,,503.16
7095,2017-06-22 00:00:00.0,1.0,72.05,216.19,K6622,4,2.0,103.45,0.0,1.0,0.16,12.0,1.0,39.0,0.0,9,,266.19
7096,2017-02-23 00:00:00.0,0.0,0.0,269.5,K6622,7,2.0,264.5,0.0,3.0,,13.0,3.0,38.0,0.0,1,,319.5
7097,2017-02-23 00:00:00.0,0.0,0.0,1998.14,K6622,12,2.0,,7397.65,6.0,1.0,78.0,0.0,47.0,,1,,2248.14
7098,2017-08-20 00:00:00.0,0.0,0.0,917.0,K6622,12,,418.45,0.0,1.0,0.63,10.0,2.0,53.0,0.0,7,0.0,967.0
7099,2017-05-01 00:00:00.0,0.0,0.0,313.71,K6512,6,1.0,,0.0,2.0,0.33,4.0,0.0,30.0,,17,,389.71
7100,2017-06-12 00:00:00.0,0.0,0.0,1634.57,K6512,2,2.0,,0.0,3.0,0.0,105.0,0.0,23.0,,1,,1728.36
7101,2017-02-23 00:00:00.0,0.0,0.0,322.46,K6512,6,2.0,,0.0,5.0,,4.0,0.0,44.0,,3,,398.46
7102,2017-05-19 00:00:00.0,0.0,0.0,557.82,K6512,10,,,0.0,2.0,0.0,138.0,0.0,42.0,,65,,587.89
7103,2017-07-13 00:00:00.0,0.0,0.0,538.07,K6512,2,1.0,,0.0,3.0,,108.0,0.0,62.0,,1,,615.57
7104,2017-03-09 00:00:00.0,1.0,57.0,57.0,K6619,66,1.0,,0.0,2.0,0.33,4.0,0.0,27.0,,1,,57.0
7105,2017-07-21 00:00:00.0,0.0,0.0,193.92,K6622,7,2.0,80.0,543.76,8.0,,72.0,3.0,35.0,4.0,22,,243.92
7106,2017-01-26 00:00:00.0,1.0,159.2,159.2,K6512,49,,285.82,0.0,1.0,0.28,117.0,1.0,54.0,0.0,7,2.0,159.2
7107,2017-04-13 00:00:00.0,0.0,0.0,181.83,K6512,2,,33.4,0.0,1.0,0.0,101.0,0.0,28.0,0.0,6,1.0,242.99
7108,2017-09-24 00:00:00.0,0.0,0.0,343.02,K6512,2,,0.0,0.0,1.0,0.8,104.0,0.0,36.0,0.0,7,0.0,419.69
7109,2017-05-20 00:00:00.0,0.0,0.0,24.05,K6622,7,,,300.72,2.0,,74.0,0.0,30.0,,4,,74.05
7110,2017-05-08 00:00:00.0,0.0,0.0,543.16,K6619,32,,,33.26,3.0,0.14,4.0,0.0,,,4,,543.16
7111,2017-03-11 00:00:00.0,0.0,0.0,506.79,K6622,55,1.0,,1136.85,2.0,,78.0,0.0,35.0,,11,,506.79
7112,2017-04-22 00:00:00.0,0.0,0.0,226.79,K6622,22,1.0,1395.0,0.0,4.0,,75.0,2.0,40.0,1.0,7,1.0,276.79
7113,2017-01-21 00:00:00.0,1.0,90.0,176.57,K6512,2,3.0,46.51,0.0,6.0,0.66,103.0,0.0,44.0,2.0,7,1.0,237.74
7114,2017-07-31 00:00:00.0,0.0,0.0,1412.75,K6512,6,1.0,,0.0,2.0,,211.0,0.0,31.0,,1,,1488.75
7115,2017-09-18 00:00:00.0,0.0,0.0,168.81,K6619,32,1.0,,60.27,2.0,0.0,4.0,0.0,44.0,,1,,168.81
7116,2017-08-20 00:00:00.0,0.0,0.0,370.54,K6622,12,0.0,,0.0,5.0,,55.0,0.0,42.0,,11,,470.54
7117,2017-07-13 00:00:00.0,0.0,0.0,0.0,K6512,6,,608.4,209.55,3.0,,4.0,0.0,35.0,0.0,4,,1251.6
7118,2017-01-13 00:00:00.0,0.0,0.0,463.91,K6622,55,,,410.97,2.0,,133.0,0.0,59.0,,4,,463.91
7119,2017-04-25 00:00:00.0,1.0,242.0,442.0,K6512,34,,154.8,0.0,1.0,,156.0,0.0,22.0,1.0,6,1.0,442.0
7120,2017-05-05 00:00:00.0,1.0,319.75,319.75,K6512,27,,75.97,0.0,3.0,,4.0,0.0,34.0,1.0,7,1.0,319.75
7121,2017-01-08 00:00:00.0,0.0,0.0,980.05,K6512,133,,,4.9,2.0,,126.0,0.0,,,4,,980.05
7122,2017-07-21 00:00:00.0,0.0,0.0,194.56,K6622,12,1.0,,485.62,2.0,0.33,74.0,0.0,29.0,,3,,294.56
7123,2017-07-21 00:00:00.0,0.0,0.0,281.27,K6622,58,6.0,,1896.39,6.0,0.0,10.0,0.0,51.0,,40,,331.27
7124,2017-08-26 00:00:00.0,0.0,0.0,140.79,K6512,2,,205.38,0.0,1.0,,109.0,3.0,27.0,1.0,7,1.0,202.11
7125,2017-02-17 00:00:00.0,1.0,62.5,54.5,K6512,3,,390.0,0.0,6.0,0.0,886.0,6.0,54.0,0.0,10,,62.5
7126,2017-06-17 00:00:00.0,1.0,186.87,161.64,K6512,9,2.0,134.72,0.0,7.0,0.25,108.0,1.0,53.0,0.0,1,0.0,354.09
7127,2017-08-31 00:00:00.0,0.0,0.0,150.6,K6622,15,2.0,79.56,0.0,4.0,0.0,4.0,1.0,36.0,0.0,1,0.0,161.9
7128,2017-03-06 00:00:00.0,1.0,394.0,871.56,K6622,17,1.0,416.36,0.0,1.0,0.16,84.0,0.0,53.0,1.0,1,,931.56
7129,2017-05-25 00:00:00.0,1.0,106.0,56.0,K6622,12,1.0,,0.0,2.0,0.16,14.0,0.0,31.0,,1,,106.0
7130,2017-09-18 00:00:00.0,0.0,0.0,443.86,K6622,12,1.0,644.67,3228.58,10.0,,8.0,1.0,55.0,2.0,5,,493.86
7131,2017-02-23 00:00:00.0,0.0,0.0,50.16,K6512,6,1.0,,0.0,3.0,0.0,4.0,0.0,49.0,,1,,111.16
7132,2017-03-25 00:00:00.0,0.0,0.0,514.89,K6622,22,2.0,864.76,1190.71,3.0,,12.0,1.0,43.0,0.0,31,0.0,564.89
7133,2017-04-22 00:00:00.0,0.0,0.0,56.63,K6622,7,,,1232.92,2.0,1.0,12.0,0.0,49.0,,4,,106.63
7134,2017-04-27 00:00:00.0,0.0,0.0,1713.38,K6622,28,11.0,267.43,1630.79,21.0,,69.0,0.0,59.0,2.0,5,,2062.74
7135,2017-03-04 00:00:00.0,0.0,0.0,103.01,K6512,2,,48.57,0.0,1.0,0.33,103.0,0.0,32.0,0.0,7,1.0,164.52
7136,2017-01-26 00:00:00.0,0.0,0.0,85.3,K6512,49,,2201.96,913.94,2.0,0.0,117.0,39.0,34.0,7.0,4,,85.3
7137,2017-07-01 00:00:00.0,0.0,0.0,1053.96,K6512,6,5.0,,0.0,4.0,0.0,4.0,0.0,30.0,,1,,1141.96
7138,2017-09-10 00:00:00.0,0.0,0.0,1186.72,K6512,44,,,4500.0,1.0,0.25,220.0,0.0,27.0,,4,,1526.91
7139,2017-05-25 00:00:00.0,0.0,0.0,269.68,K6622,12,1.0,100.0,0.0,5.0,0.5,14.0,2.0,51.0,0.0,1,,319.68
7140,2017-05-19 00:00:00.0,0.0,0.0,399.15,K6512,10,1.0,17.06,0.0,2.0,0.0,165.0,0.0,35.0,0.0,7,1.0,427.38
7141,2017-09-30 00:00:00.0,1.0,150.0,1652.49,K6512,53,,258.24,135.26,2.0,1.0,116.0,2.0,54.0,4.0,7,0.0,1652.49
7142,2017-02-23 00:00:00.0,0.0,0.0,1024.44,K6622,12,1.0,,0.0,3.0,,13.0,0.0,65.0,,1,,1124.44
7143,2017-03-03 00:00:00.0,0.0,0.0,165.6,K6622,15,,,504.75,2.0,0.0,5.0,0.0,54.0,,4,,176.78
7144,2017-06-17 00:00:00.0,0.0,0.0,48.78,K6512,9,,49.98,0.0,1.0,,108.0,0.0,39.0,1.0,7,1.0,73.82
7145,2017-05-20 00:00:00.0,0.0,0.0,194.87,K6512,9,6.0,,0.0,5.0,0.0,128.0,0.0,54.0,,26,,220.29
7146,2017-02-25 00:00:00.0,0.0,0.0,80.58,K6512,10,4.0,316.7,0.0,5.0,0.32,147.0,0.0,43.0,0.0,1,0.0,100.79
7147,2017-02-17 00:00:00.0,0.0,0.0,55.96,K6512,3,1.0,,0.0,1.0,0.5,1112.0,0.0,26.0,,1,,63.96
7148,2017-03-18 00:00:00.0,0.0,0.0,355.31,K6512,10,2.0,43.49,0.0,2.0,0.0,411.0,0.0,40.0,1.0,6,2.0,384.55
7149,2017-09-18 00:00:00.0,0.0,0.0,336.56,K6619,32,,2062.66,6550.01,3.0,0.0,4.0,0.0,35.0,5.0,4,,336.56
7150,2017-07-15 00:00:00.0,0.0,0.0,80.52,K6512,33,1.0,479.47,567.87,3.0,,195.0,10.0,31.0,3.0,7,1.0,80.52
7151,2017-06-22 00:00:00.0,0.0,0.0,306.88,K6622,1,,150.0,525.46,5.0,0.0,112.0,1.0,46.0,0.0,27,,307.47
7152,2017-05-15 00:00:00.0,0.0,0.0,611.1,K6622,55,2.0,,462.47,4.0,1.0,89.0,0.0,33.0,,1,,611.1
7153,2017-03-23 00:00:00.0,0.0,0.0,0.0,K6512,6,,,1406.76,2.0,0.33,4.0,0.0,38.0,,4,,388.03
7154,2017-06-24 00:00:00.0,0.0,0.0,153.54,K6512,2,1.0,,0.0,1.0,0.28,4.0,0.0,23.0,,1,,242.01
7155,2017-03-20 00:00:00.0,0.0,0.0,1304.25,K6512,10,2.0,,0.0,6.0,0.4,170.0,0.0,63.0,,3,,1335.78
7156,2017-07-22 00:00:00.0,0.0,0.0,54.39,K6512,2,,,0.0,2.0,0.5,103.0,1.0,44.0,,5,,115.39
7157,2017-07-16 00:00:00.0,0.0,0.0,164.07,K6619,32,1.0,95.96,0.0,3.0,,4.0,0.0,49.0,0.0,1,0.0,164.07
7158,2017-01-13 00:00:00.0,0.0,0.0,75.21,K6512,2,,22.9,0.0,2.0,0.0,102.0,0.0,29.0,0.0,6,0.0,244.34
7159,2017-02-17 00:00:00.0,0.0,0.0,2265.0,K6512,11,1.0,316.33,701.39,1.0,0.33,66.0,1.0,33.0,2.0,7,1.0,2280.0
7160,2017-07-07 00:00:00.0,0.0,0.0,744.0,K6512,44,1.0,300.0,0.0,2.0,1.0,439.0,0.0,24.0,2.0,1,,744.0
7161,2017-02-03 00:00:00.0,0.0,0.0,1379.99,K6512,2,2.0,,740.33,7.0,0.66,67.0,0.0,63.0,,1,,1462.66
7162,2017-02-17 00:00:00.0,1.0,153.15,145.15,K6512,3,1.0,135.96,0.0,3.0,,1600.0,0.0,38.0,0.0,1,0.0,153.15
7163,2017-07-21 00:00:00.0,0.0,0.0,94.0,K6622,12,1.0,,311.22,2.0,,113.0,1.0,58.0,,9,,144.0
7164,2017-04-27 00:00:00.0,0.0,0.0,159.83,K6512,39,,,305.85,2.0,0.0,146.0,0.0,,,4,,159.83
7165,2017-05-07 00:00:00.0,0.0,0.0,67.12,K6512,71,,66.54,0.0,1.0,0.0,126.0,0.0,45.0,1.0,8,1.0,87.12
7166,2017-02-12 00:00:00.0,0.0,0.0,67.66,K6512,78,1.0,,0.0,3.0,0.0,133.0,1.0,,,1,,67.66
7167,2017-05-05 00:00:00.0,0.0,0.0,134.26,K6622,24,1.0,,0.0,1.0,0.0,90.0,0.0,28.0,,1,,149.5
7168,2017-05-18 00:00:00.0,0.0,0.0,253.86,K6512,49,2.0,,0.0,5.0,0.0,106.0,0.0,54.0,,1,,253.86
7169,2017-02-23 00:00:00.0,0.0,0.0,1207.97,K6622,12,2.0,49.0,614.87,11.0,0.0,13.0,1.0,45.0,0.0,1,,1357.97
7170,2017-09-29 00:00:00.0,0.0,0.0,333.27,K6512,10,,2513.79,319.85,3.0,,132.0,1.0,33.0,2.0,4,,361.81
7171,2017-09-11 00:00:00.0,0.0,0.0,0.0,K6512,6,1.0,208.79,0.0,4.0,,4.0,3.0,67.0,1.0,1,1.0,1218.26
7172,2017-05-12 00:00:00.0,0.0,0.0,1500.0,K6512,44,,,888.0,2.0,0.0,350.0,0.0,29.0,,4,,1500.0
7173,2017-02-23 00:00:00.0,0.0,0.0,523.71,K6512,2,1.0,,0.0,1.0,0.5,94.0,0.0,44.0,,1,,602.26
7174,2017-02-12 00:00:00.0,0.0,0.0,566.28,K6512,2,,,195.0,1.0,0.08,104.0,0.0,56.0,,4,,644.9
7175,2017-05-08 00:00:00.0,0.0,0.0,186.98,K6619,32,,22.0,22.0,5.0,0.0,4.0,0.0,24.0,1.0,4,,186.98
7176,2017-01-30 00:00:00.0,0.0,0.0,1242.89,K6512,38,1.0,,0.0,3.0,,4.0,0.0,46.0,,1,,1707.68
7177,2017-05-25 00:00:00.0,0.0,0.0,925.05,K6622,12,7.0,34.67,2147.91,6.0,0.0,14.0,0.0,36.0,1.0,1,0.0,975.05
7178,2017-08-20 00:00:00.0,0.0,0.0,1302.52,K6622,4,3.0,,51.73,4.0,0.21,10.0,0.0,32.0,,3,,1352.52
7179,2017-01-16 00:00:00.0,1.0,286.65,275.4,K6622,15,1.0,583.66,102.87,6.0,,18.0,1.0,30.0,1.0,7,1.0,286.65
7180,2017-04-13 00:00:00.0,0.0,0.0,576.48,K6512,11,,,356.14,6.0,1.0,61.0,0.0,43.0,,4,,591.48
7181,2017-02-06 00:00:00.0,0.0,0.0,1412.79,K6622,12,,,171.0,1.0,,89.0,0.0,69.0,,4,,1612.79
7182,2017-02-06 00:00:00.0,0.0,0.0,642.14,K6622,12,,,0.0,5.0,,27.0,0.0,63.0,,10,,692.14
7183,2017-07-27 00:00:00.0,0.0,0.0,176.0,K6512,11,1.0,,198.72,3.0,0.4,90.0,0.0,37.0,,1,,191.0
7184,2017-08-12 00:00:00.0,0.0,0.0,88.83,K6512,2,1.0,,0.0,3.0,1.0,102.0,0.0,45.0,,1,,150.13
7185,2017-04-09 00:00:00.0,0.0,0.0,195.72,K6512,45,,163.16,0.0,4.0,,98.0,0.0,37.0,0.0,8,2.0,195.72
7186,2017-08-26 00:00:00.0,0.0,0.0,1738.36,K6512,2,1.0,96.6,0.0,4.0,0.0,81.0,0.0,44.0,1.0,22,2.0,2813.12
7187,2017-02-06 00:00:00.0,0.0,0.0,848.08,K6622,12,1.0,,813.95,6.0,,27.0,0.0,35.0,,9,,898.08
7188,2017-09-18 00:00:00.0,0.0,0.0,125.48,K6619,32,1.0,,279.0,3.0,0.0,4.0,0.0,35.0,,3,,125.48
7189,2017-05-22 00:00:00.0,0.0,0.0,88.95,K6512,27,,,121.97,1.0,0.1,4.0,0.0,54.0,,4,,88.95
7190,2017-05-05 00:00:00.0,0.0,0.0,421.61,K6512,27,1.0,,0.0,4.0,,4.0,0.0,57.0,,1,,421.61
7191,2017-07-22 00:00:00.0,0.0,0.0,1413.15,K6622,4,0.0,75.0,0.0,2.0,0.26,193.0,0.0,46.0,0.0,1,,1463.15
7192,2017-08-03 00:00:00.0,1.0,101.79,86.55,K6622,24,,,207.7,1.0,,85.0,0.0,,,4,,101.79
7193,2017-07-09 00:00:00.0,1.0,254.21,254.21,K6512,49,1.0,,0.0,3.0,1.0,99.0,0.0,54.0,,1,,254.21
7194,2017-09-17 00:00:00.0,0.0,0.0,35.97,K6512,9,,,363.14,2.0,0.0,108.0,2.0,30.0,,4,,60.99
7195,2017-08-27 00:00:00.0,0.0,0.0,562.98,K6622,37,3.0,,7015.95,11.0,,69.0,0.0,35.0,,1,,675.58
7196,2017-05-22 00:00:00.0,0.0,0.0,153.69,K6512,27,,,273.61,1.0,,4.0,0.0,39.0,,4,,153.69
7197,2017-03-17 00:00:00.0,0.0,0.0,30.0,K6512,26,,1051.27,0.0,3.0,,358.0,1.0,83.0,1.0,7,2.0,527.0
7198,2017-01-13 00:00:00.0,1.0,413.34,352.34,K6512,6,,,0.0,2.0,0.57,4.0,0.0,50.0,,5,,428.34
